timestamp,meter_id,zone,type,consommation_kw,tension_v,courant_a,is_anomaly,anomaly_type,confidence,reconstruction_score,voltage_score,consumption_score,power_factor_score,frequency_score,temporal_score,rate_change_score
2026-05-11 16:27:56,SM_0001,Zone A,residentiel,2.382,218.55,10.899,0,normal,0.9538,0.2309,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-05-11 16:27:56,SM_0002,Zone B,residentiel,1.330,236.54,5.623,0,normal,0.8854,0.5732,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-05-11 16:27:56,SM_0003,Zone C,residentiel,15.820,238.42,66.353,1,consumption,0.9999,0.3813,0.0000,0.9999,0.0000,0.0000,0.0000,0.0000
2026-05-11 16:27:56,SM_0004,Zone D,residentiel,2.550,207.55,12.286,1,reconstruction,0.8975,0.8975,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-05-11 16:27:56,SM_0005,Zone A,residentiel,3.079,235.31,13.085,0,normal,0.9039,0.4807,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-05-11 16:27:56,SM_0006,Zone B,residentiel,1.867,233.21,8.006,0,normal,0.8964,0.5178,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-05-11 16:27:56,SM_0007,Zone C,residentiel,2.745,223.13,12.302,0,normal,0.8143,0.9286,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-05-11 16:27:56,SM_0008,Zone D,residentiel,1.465,241.17,6.075,0,normal,0.9027,0.4863,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-05-11 16:27:56,SM_0009,Zone A,residentiel,1.915,207.72,9.219,1,voltage,0.7000,0.3034,0.7000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-05-11 16:27:56,SM_0010,Zone B,residentiel,3.929,241.35,16.279,0,normal,0.8274,0.4128,0.0000,0.6000,0.0000,0.0000,0.0000,0.0000
2026-05-11 16:27:56,SM_0011,Zone C,residentiel,0.383,228.25,1.678,0,normal,0.8709,0.6457,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-05-11 16:27:56,SM_0012,Zone D,residentiel,2.105,235.08,8.954,0,normal,0.8207,0.8963,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-05-11 16:27:56,SM_0013,Zone A,residentiel,0.595,231.50,2.570,0,normal,0.9757,0.1214,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-05-11 16:27:56,SM_0014,Zone B,residentiel,2.999,233.96,12.818,0,normal,0.9307,0.3464,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
2026-05-11 16:27:56,SM_0015,Zone C,residentiel,3.012,221.30,13.610,0,normal,0.9370,0.3149,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
