index,is_anomaly,anomaly_type,total_score,confidence,reconstruction_score,voltage_score,consumption_score,power_factor_score,frequency_score,temporal_score,rate_change_score
0,False,normal,0.056594040244817734,0.9434059858322144,0.2829701900482178,0.0,0.0,0.0,0.0,0.0,0.0
1,False,normal,0.055508267134428024,0.9444917440414429,0.2775413393974304,0.0,0.0,0.0,0.0,0.0,0.0
2,False,normal,0.05694034695625305,0.9430596828460693,0.28470173478126526,0.0,0.0,0.0,0.0,0.0,0.0
3,False,normal,0.1372898519039154,0.8627101182937622,0.37084057927131653,0.0,0.0,0.4208116444338334,0.0,0.0,0.0
4,False,normal,0.08999573439359665,0.9100042581558228,0.44997867941856384,0.0,0.0,0.0,0.0,0.0,0.0
5,False,normal,0.12295520305633545,0.8770447969436646,0.6147760152816772,0.0,0.0,0.0,0.0,0.0,0.0
6,False,normal,0.05025632306933403,0.9497436881065369,0.25128161907196045,0.0,0.0,0.0,0.0,0.0,0.0
7,False,normal,0.1765173375606537,0.8234826326370239,0.882586658000946,0.0,0.0,0.0,0.0,0.0,0.0
8,False,normal,0.06465919315814972,0.9353408217430115,0.3232959508895874,0.0,0.0,0.0,0.0,0.0,0.0
9,False,normal,0.056234389543533325,0.9437656402587891,0.2811719477176666,0.0,0.0,0.0,0.0,0.0,0.0
10,False,normal,0.06761356443166733,0.9323864579200745,0.33806782960891724,0.0,0.0,0.0,0.0,0.0,0.0
11,True,voltage,0.27731016278266907,1.0,0.38655075430870056,1.0,0.0,0.0,0.0,0.0,0.0
12,False,normal,0.0716685801744461,0.9283314347267151,0.35834288597106934,0.0,0.0,0.0,0.0,0.0,0.0
13,True,voltage,0.33132365345954895,0.7,0.6477192044258118,0.7,0.0,0.4118655293256194,0.0,0.0,0.0
14,False,normal,0.13043515384197235,0.8695648312568665,0.6521757245063782,0.0,0.0,0.0,0.0,0.0,0.0
15,False,normal,0.048128899186849594,0.9518710970878601,0.24064448475837708,0.0,0.0,0.0,0.0,0.0,0.0
16,True,power_factor,0.21403257548809052,0.6148494929910442,0.609025776386261,0.0,0.0,0.6148494929910442,0.0,0.0,0.0
17,False,normal,0.14274588227272034,0.857254147529602,0.7137293815612793,0.0,0.0,0.0,0.0,0.0,0.0
18,False,normal,0.08508171141147614,0.9149183034896851,0.4254085421562195,0.0,0.0,0.0,0.0,0.0,0.0
19,False,normal,0.15566208958625793,0.8443379402160645,0.7783104181289673,0.0,0.0,0.0,0.0,0.0,0.0
20,False,normal,0.13685733079910278,0.8631426692008972,0.47933873534202576,0.0,0.0,0.273263928004247,0.0,0.0,0.0
21,False,normal,0.07599106431007385,0.9240089654922485,0.37995532155036926,0.0,0.0,0.0,0.0,0.0,0.0
22,True,reconstruction,0.28578126430511475,0.7289062738418579,0.7289062738418579,0.7,0.0,0.0,0.0,0.0,0.0
23,False,normal,0.16550424695014954,0.8344957828521729,0.8275212049484253,0.0,0.0,0.0,0.0,0.0,0.0
24,False,normal,0.046667780727148056,0.953332245349884,0.23333890736103058,0.0,0.0,0.0,0.0,0.0,0.0
25,False,normal,0.08300589770078659,0.9169940948486328,0.41502946615219116,0.0,0.0,0.0,0.0,0.0,0.0
26,False,normal,0.148927241563797,0.8510727882385254,0.7446361780166626,0.0,0.0,0.0,0.0,0.0,0.0
27,False,normal,0.06624256074428558,0.9337574243545532,0.3312127888202667,0.0,0.0,0.0,0.0,0.0,0.0
