timestamp,hour,meter_id,bus_id,consumer_type,consumption_kw,voltage_pu,frequency_hz,has_solar,is_anomalous,attack_type
0,0,SMT_010983,6,residential,0.5712155844607555,0.9899216737522757,60.01355426674409,False,False,normal
0,0,SMT_005560,4,commercial,2.04079534775786,1.0028814599045484,59.9762138569275,False,False,normal
0,0,SMT_012098,6,residential,1.128728330669561,0.9962453841415646,59.99384497458278,False,False,normal
0,0,SMT_000344,1,residential,1.2194603211576551,0.9957876324166417,60.003376460500455,False,False,normal
0,0,SMT_021051,12,commercial,4.111323763153488,1.011797653271339,60.00163254286012,False,False,normal
0,0,SMT_022182,12,residential,0.948445936669874,1.0019975579899474,59.993820465345614,False,False,normal
0,0,SMT_015409,9,commercial,3.2168128006907564,0.9937962318815174,60.00870669085751,False,False,normal
0,0,SMT_019556,10,commercial,3.5315776778316903,1.0136115261616794,59.98754561496829,False,False,normal
0,0,SMT_013778,7,residential,0.4931185938580869,0.999106705810021,59.99820819887821,False,False,normal
0,0,SMT_003805,3,residential,0.7675433379571204,0.9936360304181046,59.99810158517689,True,False,normal
0,0,SMT_011266,6,residential,0.886208008789451,1.0051236766751008,60.011410651652724,False,False,normal
0,0,SMT_022654,13,residential,0.5032109954522598,0.9966689848184073,60.005295412762166,False,False,normal
0,0,SMT_013870,7,commercial,2.146957559021783,1.0043696440153482,60.004074171830375,False,False,normal
0,0,SMT_022668,13,residential,0.5688113532842407,1.0063707519744445,59.98847332789111,True,False,normal
0,0,SMT_020510,11,residential,1.0840575590137247,0.9907155672191217,60.001589434434884,False,False,normal
0,0,SMT_018747,10,residential,1.1388498682387245,1.0162119336517519,59.97985134038319,False,False,normal
0,0,SMT_015518,9,residential,0.8189234980729133,1.0055161327918445,59.999920144244925,False,False,normal
0,0,SMT_006861,4,residential,0.6286461929856169,0.9895648277878708,59.99719282870316,False,False,normal
0,0,SMT_007102,4,residential,1.1474325126886196,0.9987426361178694,60.002450623282144,True,False,normal
