index,is_anomaly,anomaly_type,total_score,confidence,reconstruction_score,voltage_score,consumption_score,power_factor_score,frequency_score,temporal_score,rate_change_score
0,False,normal,0.17055419087409973,0.8294458389282227,0.8527709245681763,0.0,0.0,0.0,0.0,0.0,0.0
1,False,normal,0.14252837002277374,0.8574716448783875,0.7126418352127075,0.0,0.0,0.0,0.0,0.0,0.0
2,False,normal,0.1182311400771141,0.8817688822746277,0.5911557078361511,0.0,0.0,0.0,0.0,0.0,0.0
3,False,normal,0.07408023625612259,0.925919771194458,0.37040117383003235,0.0,0.0,0.0,0.0,0.0,0.0
4,False,normal,0.10537625849246979,0.8946237564086914,0.5268812775611877,0.0,0.0,0.0,0.0,0.0,0.0
5,False,normal,0.18543632328510284,0.8145636916160583,0.927181601524353,0.0,0.0,0.0,0.0,0.0,0.0
6,False,normal,0.11614127457141876,0.8838587403297424,0.5807063579559326,0.0,0.0,0.0,0.0,0.0,0.0
7,False,normal,0.11594990640878677,0.8840500712394714,0.5797495245933533,0.0,0.0,0.0,0.0,0.0,0.0
8,False,normal,0.07227396965026855,0.9277260303497314,0.3613698482513428,0.0,0.0,0.0,0.0,0.0,0.0
9,False,normal,0.09835942834615707,0.9016405940055847,0.49179714918136597,0.0,0.0,0.0,0.0,0.0,0.0
10,False,normal,0.11360543966293335,0.8863945603370667,0.5680271983146667,0.0,0.0,0.0,0.0,0.0,0.0
11,False,normal,0.09457718580961227,0.9054228067398071,0.47288593649864197,0.0,0.0,0.0,0.0,0.0,0.0
12,False,normal,0.1252938210964203,0.8747061491012573,0.626469075679779,0.0,0.0,0.0,0.0,0.0,0.0
13,False,normal,0.1719948798418045,0.8280051350593567,0.8599743843078613,0.0,0.0,0.0,0.0,0.0,0.0
14,False,normal,0.2,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,False,normal,0.10466127842664719,0.8953387141227722,0.5233063697814941,0.0,0.0,0.0,0.0,0.0,0.0
16,False,normal,0.06301220506429672,0.9369878172874451,0.3150610029697418,0.0,0.0,0.0,0.0,0.0,0.0
17,False,normal,0.2,0.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,False,normal,0.07640395313501358,0.9235960245132446,0.3820197582244873,0.0,0.0,0.0,0.0,0.0,0.0
19,False,normal,0.0727614313364029,0.9272385835647583,0.36380714178085327,0.0,0.0,0.0,0.0,0.0,0.0
20,False,normal,0.16866041719913483,0.8313395977020264,0.8433020710945129,0.0,0.0,0.0,0.0,0.0,0.0
21,False,normal,0.09338225424289703,0.9066177606582642,0.466911256313324,0.0,0.0,0.0,0.0,0.0,0.0
