timestamp,hour,meter_id,bus_id,consumer_type,consumption_kw,voltage_pu,frequency_hz,has_solar,is_anomalous,attack_type,attack_name
0,0,SMT_003537,3,commercial,3.2112304002932865,0.9944205494755656,60.006901288235966,False,False,fdia,FDIA_subtle
0,0,SMT_018049,10,residential,1.0528404837459673,1.0119055979155367,59.99948362457518,False,False,fdia,FDIA_subtle
0,0,SMT_008615,5,residential,1.2286770831573388,1.0160613030709646,60.00547341253837,False,True,fdia,FDIA_subtle
0,0,SMT_010936,6,commercial,1.1474437945923983,0.9846191883563267,59.98859002148941,False,False,fdia,FDIA_subtle
0,0,SMT_019187,10,commercial,1.282243215854801,1.0110962900810043,59.997526167483315,False,False,fdia,FDIA_subtle
0,0,SMT_002351,2,commercial,3.941705860119018,0.9927084214076178,60.01467968277895,False,False,fdia,FDIA_subtle
0,0,SMT_008853,5,residential,1.3310370201717632,1.0092486955097209,59.98838793452542,False,True,fdia,FDIA_subtle
0,0,SMT_009598,5,industrial,20.127142223764587,1.0099944293499923,59.99564453927375,False,True,fdia,FDIA_subtle
0,0,SMT_018558,10,residential,1.1264293165597885,0.9986546149159198,59.99071175216042,True,False,fdia,FDIA_subtle
0,0,SMT_017136,10,commercial,2.696061933442893,1.0197019575034167,60.00806615694443,False,False,fdia,FDIA_subtle
0,0,SMT_011599,6,residential,0.9954805737280894,0.9880046829234337,60.01796920573779,False,False,fdia,FDIA_subtle
0,0,SMT_015480,9,residential,0.558981464087628,0.9981755480932264,60.005160454476126,False,False,fdia,FDIA_subtle
0,0,SMT_005107,3,residential,0.4763840558187964,0.9993842396741794,60.017204417605804,False,False,fdia,FDIA_subtle
0,0,SMT_015337,9,residential,1.02923497076825,0.9908680386118958,59.98290185962842,False,False,fdia,FDIA_subtle
0,0,SMT_003483,3,residential,0.6416198626330141,0.9972298722765003,60.00156078007498,False,False,fdia,FDIA_subtle
0,0,SMT_009744,5,residential,1.203723616934952,1.0088776119835183,59.999594841538745,False,True,fdia,FDIA_subtle
0,0,SMT_022955,13,industrial,15.269375517912904,0.9846941739103193,60.012223744414676,False,False,fdia,FDIA_subtle
0,0,SMT_007726,4,commercial,1.1795794344314487,1.0004137145230414,60.00768476847967,False,False,fdia,FDIA_subtle
